City,Population,State
Mumbai,12442373,Maharashtra
Delhi,11034555,Delhi
Bangalore,8443675,Karnataka
Hyderabad,6993262,Telangana
Ahmedabad,5577940,Gujarat
Chennai,4646732,Tamil Nadu
Kolkata,4496694,West Bengal
Surat,4467797,Gujarat
Pune,3124458,Maharashtra
Jaipur,3046163,Rajasthan
Lucknow,2817105,Uttar Pradesh
Kanpur,2765348,Uttar Pradesh
Nagpur,2405665,Maharashtra
Indore,1964086,Madhya Pradesh
Thane,1841488,Maharashtra
Bhopal,1798218,Madhya Pradesh
Visakhapatnam,1728128,Andhra Pradesh
Pimpri-Chinchwad,1727692,Maharashtra
Patna,1684222,Bihar
Vadodara,1670806,Gujarat
Ghaziabad,1648643,Uttar Pradesh
Ludhiana,1618879,Punjab
Agra,1585704,Uttar Pradesh
