City,Population,State
Mumbai,12442373,Maharashtra
Delhi,11034555,Delhi
Bangalore,8443675,Karnataka
Hyderabad,6993262,Telangana
Ahmedabad,5577940,Gujarat
Chennai,4646732,Tamil Nadu
Kolkata,4496694,West Bengal
Surat,4467797,Gujarat
Pune,3124458,Maharashtra
Jaipur,3046163,Rajasthan
Lucknow,2817105,Uttar Pradesh
Kanpur,2765348,Uttar Pradesh
Nagpur,2405665,Maharashtra
Indore,1964086,Madhya Pradesh
Thane,1841488,Maharashtra
Bhopal,1798218,Madhya Pradesh
Visakhapatnam,1728128,Andhra Pradesh
Pimpri-Chinchwad,1727692,Maharashtra
Patna,1684222,Bihar
Vadodara,1670806,Gujarat
Ghaziabad,1648643,Uttar Pradesh
Ludhiana,1618879,Punjab
Agra,1585704,Uttar Pradesh
Nashik,1486053,Maharashtra
Faridabad,1414050,Haryana
Meerut,1305429,Uttar Pradesh
Rajkot,1286678,Gujarat
Kalyan-Dombivali,1247327,Maharashtra
Vasai-Virar,1222390,Maharashtra
Varanasi,1198491,Uttar Pradesh
Srinagar,1180570,Jammu and Kashmir
Aurangabad,1175116,Maharashtra
Dhanbad,1162472,Jharkhand
Amritsar,1132383,Punjab
Navi Mumbai,1120547,Maharashtra
Allahabad,1112544,Uttar Pradesh
Howrah,1077075,West Bengal
Ranchi,1073427,Jharkhand
Jabalpur,1055525,Madhya Pradesh
Gwalior,1054420,Madhya Pradesh
Coimbatore,1050721,Tamil Nadu
Vijayawada,1034358,Andhra Pradesh
Jodhpur,1033756,Rajasthan
Madurai,1017865,Tamil Nadu
Raipur,1010433,Chhattisgarh
Kota,1001694,Rajasthan
